name,start_time,end_time,report,fuel_type,fuel_price,availability,consider_availability
"fuel_CERRO_PABELLON_U1",1970-01-01-00:00,2100-01-01-00:00,true,geothermal,0,1000000,false
"fuel_CERRO_PABELLON_U2",1970-01-01-00:00,2100-01-01-00:00,true,geothermal,0,1000000,false
"fuel_CERRO_PABELLON_U3",1970-01-01-00:00,2100-01-01-00:00,true,geothermal,0,1000000,false
"fuel_TRES_AGUAS",1970-01-01-00:00,2100-01-01-00:00,true,diesel,1212.667,1000000,false
"fuel_LOMA_LOS_COLORADOS_1",1970-01-01-00:00,2100-01-01-00:00,true,nuclear,0,1000000,false
"fuel_LOMA_LOS_COLORADOS_2",1970-01-01-00:00,2100-01-01-00:00,true,nuclear,0,1000000,false
"fuel_SANTA_MARTA",1970-01-01-00:00,2100-01-01-00:00,true,nuclear,0,1000000,false
"fuel_ARAUCO",1970-01-01-00:00,2100-01-01-00:00,true,biomass,25.4,1000000,false
"fuel_CELCO_BL1",1970-01-01-00:00,2100-01-01-00:00,true,biomass,20.48,1000000,false
"fuel_CHOLGUAN_BL1",1970-01-01-00:00,2100-01-01-00:00,true,biomass,30.35,1000000,false
"fuel_CMPC_LAJA_BL1",1970-01-01-00:00,2100-01-01-00:00,true,biomass,0,1000000,false
"fuel_CMPC_LAJA_BL2",1970-01-01-00:00,2100-01-01-00:00,true,biomass,44.36,1000000,false
"fuel_CMPC_LAJA_BL3",1970-01-01-00:00,2100-01-01-00:00,true,biomass,59.29,1000000,false
"fuel_CMPC_LAJA_BL4",1970-01-01-00:00,2100-01-01-00:00,true,biomass,128.9,1000000,false
"fuel_CMPC_LAJA_BL5",1970-01-01-00:00,2100-01-01-00:00,true,fueloil,569.34,1000000,false
"fuel_CMPC_PACIFICO_BL1",1970-01-01-00:00,2100-01-01-00:00,true,biomass,0,1000000,false
"fuel_CMPC_PACIFICO_BL2",1970-01-01-00:00,2100-01-01-00:00,true,biomass,33.83,1000000,false
"fuel_CMPC_PACIFICO_BL3",1970-01-01-00:00,2100-01-01-00:00,true,fueloil,573.3,1000000,false
"fuel_ENERGIA_PACIFICO",1970-01-01-00:00,2100-01-01-00:00,true,biomass,31.81,1000000,false
"fuel_ESCUADRON",1970-01-01-00:00,2100-01-01-00:00,true,biomass,29.72,1000000,false
"fuel_LAJA-EVE_1",1970-01-01-00:00,2100-01-01-00:00,true,biomass,16.8,1000000,false
"fuel_LAJA-EVE_2",1970-01-01-00:00,2100-01-01-00:00,true,biomass,0,1000000,false
"fuel_LAUTARO_1_BL1",1970-01-01-00:00,2100-01-01-00:00,true,biomass,10.16,1000000,false
"fuel_LAUTARO_1_BL2",1970-01-01-00:00,2100-01-01-00:00,true,biomass,16.51,1000000,false
"fuel_LAUTARO_2_BL1",1970-01-01-00:00,2100-01-01-00:00,true,biomass,18.5,1000000,false
"fuel_LAUTARO_2_BL2",1970-01-01-00:00,2100-01-01-00:00,true,biomass,38.12,1000000,false
"fuel_LICANTEN_BL1",1970-01-01-00:00,2100-01-01-00:00,true,biomass,0,1000000,false
